# p  wer_bp  wer_osd
0.010000 0.000050 0.000000
0.020000 0.000430 0.000010
0.030000 0.001480 0.000020
0.040000 0.003080 0.000120
0.050000 0.006470 0.000600
0.060000 0.012910 0.001430
0.070000 0.022700 0.003980
0.080000 0.037200 0.010200
0.090000 0.058270 0.020480
0.100000 0.087720 0.039300
0.110000 0.132460 0.069180
0.120000 0.180750 0.111220
0.130000 0.243540 0.167570
0.140000 0.318710 0.236650
0.150000 0.400900 0.317290
