# p  wer_bp  wer_osd
0.010000 0.000060 0.000000
0.020000 0.000300 0.000000
0.030000 0.000820 0.000000
0.040000 0.002200 0.000020
0.050000 0.005030 0.000180
0.060000 0.008960 0.000740
0.070000 0.014940 0.002360
0.080000 0.025660 0.006320
0.090000 0.040960 0.013410
0.100000 0.061880 0.026400
0.110000 0.093570 0.046370
0.120000 0.132520 0.079030
0.130000 0.184630 0.121170
0.140000 0.244300 0.177540
0.150000 0.312520 0.242180
