# p  wer_bp  wer_osd
0.010000 0.141590 0.000000
0.020000 0.294390 0.000030
0.030000 0.447650 0.000260
0.040000 0.585950 0.001660
0.050000 0.712200 0.006040
0.060000 0.810690 0.021110
0.070000 0.888980 0.048710
0.080000 0.937380 0.100100
0.090000 0.968440 0.183310
0.100000 0.985780 0.293180
0.110000 0.993870 0.422300
0.120000 0.997610 0.557060
0.130000 0.999110 0.682720
0.140000 0.999760 0.787860
0.150000 0.999910 0.869490
