# p  wer_bp  wer_osd
0.010000 0.000100 0.000000
0.020000 0.000840 0.000000
0.030000 0.002600 0.000000
0.040000 0.007140 0.000020
0.050000 0.014440 0.000120
0.060000 0.026600 0.000500
0.070000 0.044560 0.001700
0.080000 0.069300 0.005040
0.090000 0.105160 0.010580
0.100000 0.146100 0.020560
0.110000 0.196360 0.039300
0.120000 0.254240 0.066320
0.130000 0.318380 0.105720
0.140000 0.393380 0.156400
0.150000 0.469780 0.217600
