# p  wer_bp  wer_osd
0.010000 0.000120 0.000000
0.020000 0.000820 0.000000
0.030000 0.002860 0.000000
0.040000 0.006760 0.000140
0.050000 0.014300 0.000340
0.060000 0.025720 0.001280
0.070000 0.044280 0.003580
0.080000 0.069680 0.007340
0.090000 0.101520 0.015960
0.100000 0.143840 0.028380
0.110000 0.196560 0.050940
0.120000 0.253060 0.080860
0.130000 0.320720 0.122120
0.140000 0.391600 0.173360
0.150000 0.469660 0.233180
