# p  wer_bp  wer_osd
0.010000 0.242820 0.000000
0.020000 0.449240 0.000000
0.030000 0.613100 0.000020
0.040000 0.740620 0.000400
0.050000 0.835860 0.001960
0.060000 0.900780 0.006760
0.070000 0.946220 0.020220
0.080000 0.971500 0.046840
0.090000 0.985920 0.092640
0.100000 0.993600 0.166540
0.110000 0.996960 0.269160
0.120000 0.999240 0.388340
0.130000 0.999700 0.516440
0.140000 0.999800 0.640220
0.150000 0.999960 0.754560
