# p  wer_bp  wer_osd
0.010000 0.000000 0.000000
0.020000 0.000040 0.000000
0.030000 0.000120 0.000000
0.040000 0.000170 0.000010
0.050000 0.000560 0.000130
0.060000 0.000840 0.000360
0.070000 0.001860 0.001320
0.080000 0.003250 0.004610
0.090000 0.006160 0.011780
0.100000 0.011010 0.028950
0.110000 0.018440 0.061600
0.120000 0.031890 0.114940
0.130000 0.049780 0.190220
0.140000 0.076590 0.291440
0.150000 0.112990 0.404690
