# p  wer_bp  wer_osd
0.010000 0.304870 0.000000
0.020000 0.535360 0.000010
0.030000 0.702580 0.000010
0.040000 0.819100 0.000080
0.050000 0.895540 0.000750
0.060000 0.943840 0.004280
0.070000 0.971340 0.015110
0.080000 0.987090 0.047860
0.090000 0.995090 0.116890
0.100000 0.998140 0.235070
0.110000 0.999400 0.397780
0.120000 0.999910 0.576130
0.130000 0.999950 0.740520
0.140000 1.000000 0.862070
0.150000 1.000000 0.938780
