# p  wer_bp  wer_osd
0.010000 0.000060 0.000000
0.020000 0.000120 0.000000
0.030000 0.000510 0.000000
0.040000 0.000630 0.000010
0.050000 0.001320 0.000030
0.060000 0.002630 0.000200
0.070000 0.005050 0.000880
0.080000 0.009870 0.002420
0.090000 0.019720 0.007370
0.100000 0.034480 0.015930
0.110000 0.058720 0.033860
0.120000 0.101040 0.068330
0.130000 0.154570 0.121620
0.140000 0.232520 0.195990
0.150000 0.326100 0.295720
