# p  wer_bp  wer_osd
0.010000 0.004660 0.000000
0.020000 0.020420 0.000000
0.030000 0.046560 0.000020
0.040000 0.084080 0.000020
0.050000 0.137240 0.000300
0.060000 0.195760 0.000300
0.070000 0.261140 0.000980
0.080000 0.338820 0.001820
0.090000 0.416300 0.002940
0.100000 0.495180 0.005420
0.110000 0.569720 0.008480
0.120000 0.646620 0.013160
0.130000 0.711280 0.022240
0.140000 0.766040 0.031920
0.150000 0.816200 0.044660
