# p  wer_bp  wer_osd
0.010000 0.048140 0.000000
0.020000 0.185620 0.000000
0.030000 0.368720 0.000080
0.040000 0.558960 0.000120
0.050000 0.721900 0.000740
0.060000 0.838680 0.002360
0.070000 0.911880 0.005380
0.080000 0.956180 0.012380
0.090000 0.979640 0.023280
0.100000 0.990100 0.042440
0.110000 0.996120 0.065880
0.120000 0.998280 0.099580
0.130000 0.999520 0.143100
0.140000 0.999880 0.186960
0.150000 0.999920 0.240120
