# p  wer_bp  wer_osd
0.010000 0.000040 0.000000
0.020000 0.000180 0.000010
0.030000 0.000650 0.000100
0.040000 0.002210 0.000480
0.050000 0.005160 0.001470
0.060000 0.012690 0.003720
0.070000 0.024190 0.008660
0.080000 0.044930 0.018190
0.090000 0.078190 0.035470
0.100000 0.123770 0.063360
0.110000 0.182750 0.103370
0.120000 0.256370 0.155240
0.130000 0.344020 0.228700
0.140000 0.443660 0.310520
0.150000 0.539000 0.405380
