# p  wer_bp  wer_osd
0.010000 0.222080 0.000000
0.020000 0.411550 0.000020
0.030000 0.567690 0.000250
0.040000 0.694850 0.001580
0.050000 0.790200 0.006630
0.060000 0.865340 0.021620
0.070000 0.917960 0.055200
0.080000 0.953030 0.115700
0.090000 0.975110 0.207640
0.100000 0.988440 0.332660
0.110000 0.994650 0.475440
0.120000 0.997640 0.620650
0.130000 0.999200 0.745220
0.140000 0.999740 0.842420
0.150000 0.999910 0.911630
