# p  wer_bp  wer_osd
0.010000 0.000010 0.000000
0.020000 0.000080 0.000010
0.030000 0.000480 0.000100
0.040000 0.001370 0.000350
0.050000 0.003640 0.001320
0.060000 0.007880 0.004140
0.070000 0.015460 0.009820
0.080000 0.027930 0.022100
0.090000 0.048170 0.044470
0.100000 0.073430 0.078570
0.110000 0.110090 0.129440
0.120000 0.153780 0.200820
0.130000 0.212560 0.283290
0.140000 0.276830 0.375930
0.150000 0.352250 0.475910
